"city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Whisky",25785,2178
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Gin",1250,129
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Distilled Spirits",123,15
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Rum",10236,673
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Misc",2312,122
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Tequila",945,48
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Vodka",14528,1652
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Brandy",595,54
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Amaretto",239,24
"Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Schnapps",2045,162
"Ackworth",85.5,12.7,9.1,41250,66,66,0,0,0,0,0,0,NA,NA,NA
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Amaretto",18,3
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Schnapps",956,67
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Brandy",670,34
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Tequila",1032,34
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Misc",2196,89
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Vodka",11760,969
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Gin",521,36
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Whisky",19034,1083
"Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Rum",6921,440
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Vodka",76744,7567
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Gin",6622,591
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Rum",42835,3385
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Misc",23034,1494
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Tequila",18351,1367
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Schnapps",5992,474
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Brandy",3909,288
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Whisky",126213,8458
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Amaretto",785,69
"Adel",93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54,"Distilled Spirits",1626,69
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Amaretto",280,34
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Misc",2469,140
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Whisky",17687,1119
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Distilled Spirits",150,6
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Tequila",1107,55
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Brandy",473,40
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Rum",3366,194
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Gin",130,15
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Vodka",5602,738
"Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,"Schnapps",735,53
"Agency",86.8,12.1,7.9,26375,619,582,0,7,0,17,0,13,NA,NA,NA
"Ainsworth",82.7,22.1,5,31118,451,417,7,0,0,0,8,19,NA,NA,NA
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Schnapps",1471,118
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Vodka",7731,926
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Distilled Spirits",38,1
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Gin",120,9
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Misc",1768,78
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Whisky",13447,926
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Rum",5343,356
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Brandy",318,28
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Tequila",733,37
"Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,"Amaretto",101,16
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Schnapps",84,4
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Tequila",112,7
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Misc",146,4
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Vodka",391,29
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Rum",289,11
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Gin",58,2
"Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,"Whisky",630,31
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Amaretto",1542,176
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Gin",4293,370
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Whisky",127516,8813
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Vodka",52790,5097
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Brandy",6182,453
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Tequila",11043,724
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Schnapps",14405,1077
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Distilled Spirits",1713,84
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Misc",26994,1641
"Albia",83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41,"Rum",41917,2808
"Albion",87.1,12.4,5.2,30595,573,495,0,0,0,0,4,74,NA,NA,NA
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Tequila",9,0
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Misc",109,3
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Vodka",169,12
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Brandy",13,2
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Rum",80,7
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Schnapps",56,2
"Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,"Whisky",231,14
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Brandy",564,54
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Whisky",44967,3003
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Rum",19915,1413
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Distilled Spirits",295,14
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Vodka",16466,1695
"Alden",88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3,"Misc",4662,280
